Population, Crossover, Mutate, Iteration, Train Accuracy Avg, Test Accuracy Avg, Train Time Avg, Train Accuracy Best, Test Accuracy Best, Train Time Best
60,35,1,100,68.282,40.87,18.422666666666668,68.282,40.87,18.102
60,35,1,200,75.25699999999999,54.493,37.302,89.207,81.739,36.843
60,35,1,400,82.96633333333334,73.04366666666667,74.10533333333335,90.529,91.304,72.382
60,35,1,800,82.30533333333334,71.30433333333333,145.71633333333332,89.427,89.565,144.652
60,35,1,1200,81.79133333333334,71.59433333333334,224.97966666666665,88.546,90.435,221.742
60,35,10,100,68.282,40.87,23.973,68.282,40.87,20.936
60,35,10,200,69.01633333333332,42.318999999999996,48.09366666666667,70.485,45.217,42.885
60,35,10,400,75.84433333333332,57.39166666666667,99.91733333333333,90.969,90.435,83.864
60,35,10,800,82.45233333333333,69.85533333333333,190.2296666666667,90.088,86.957,169.88
60,35,10,1200,87.37166666666667,87.82599999999998,311.0566666666667,88.987,89.565,255.66
60,55,1,100,68.282,40.87,31.354666666666663,68.282,40.87,27.798
60,55,1,200,82.59899999999999,69.27533333333334,60.222,90.969,89.565,55.929
60,55,1,400,73.20100000000001,54.493,123.009,82.819,81.739,111.139
60,55,1,800,73.78866666666666,57.10166666666667,231.72133333333332,84.802,89.565,223.158
60,55,1,1200,68.649,41.73933333333333,335.49500000000006,69.383,43.478,328.688
60,55,10,100,75.33033333333333,55.94233333333333,27.246333333333336,89.427,86.087,26.652
60,55,10,200,75.03666666666668,54.20333333333334,54.565,88.546,80.87,54.106
60,55,10,400,79.956,67.24666666666667,109.72800000000001,86.344,86.087,107.641
60,55,10,800,87.665,88.11599999999999,220.9573333333333,89.427,93.913,217.381
60,55,10,1200,86.78433333333334,81.15966666666667,325.1236666666667,88.987,92.174,320.652
30,18,1,100,74.009,51.88433333333333,9.458666666666666,85.463,73.913,9.39
30,18,1,200,73.78866666666666,54.782999999999994,18.623,84.802,82.609,18.504
30,18,1,400,74.66966666666667,55.07266666666667,37.879,80.176,64.348,37.02
30,18,1,800,76.28466666666667,53.913333333333334,74.62833333333333,92.07,80.0,72.867
30,18,1,1200,68.282,40.87,114.31166666666667,68.282,40.87,112.236
30,18,10,100,68.282,41.449666666666666,10.717333333333334,68.282,42.609,10.536
30,18,10,200,77.23933333333332,59.42033333333333,22.025333333333332,89.207,84.348,21.579
30,18,10,400,73.12766666666666,51.88433333333333,43.30799999999999,82.819,73.913,42.818
30,18,10,800,69.677,43.76833333333334,86.93466666666666,72.467,49.565,85.729
30,18,10,1200,83.70066666666666,70.72466666666666,127.95299999999999,91.41,89.565,126.21
30,27,1,100,68.282,40.87,13.710333333333333,68.282,40.87,13.534
30,27,1,200,68.282,40.87,27.166,68.282,40.87,26.811
30,27,1,400,68.282,40.87,54.53966666666667,68.282,40.87,53.389
30,27,1,800,68.282,40.87,108.42533333333331,68.282,40.87,105.982
30,27,1,1200,68.282,40.87,164.03133333333335,68.282,40.87,162.859
30,27,10,100,68.282,40.87,13.529333333333332,68.282,40.87,13.254
30,27,10,200,68.282,40.87,26.474999999999998,68.282,40.87,26.39
30,27,10,400,74.08233333333334,52.17433333333333,53.906,85.683,74.783,53.375
30,27,10,800,82.67233333333333,70.14533333333333,106.18633333333332,92.07,86.957,105.347
30,27,10,1200,71.072,50.14533333333333,162.30366666666666,76.652,68.696,161.718
